"Sample","Original size (KB)","HC Size (KB)","HC Rate","HC MSE","HC Absolute Error","HC MOS-LQO audio","HC MOS-LQO speech","MP3 Size (KB)","MP3 Rate","MP3 MSE","MP3 Absolute Error","MP3 MOS-LQO audio","MP3 MOS-LQO speech","ACC Size (KB)","ACC Rate","ACC MSE","ACC Absolute Error","ACC MOS-LQO audio","ACC MOS-LQO speech","OPUS Size (KB)","OPUS Rate","OPUS MSE","OPUS Absolute Error","OPUS MOS-LQO audio","OPUS MOS-LQO speech"
"01_sopranoA","224.349609375","5.42578125","41.3488120950324","0.0065901016075586615","9.4568019725887E-05","4.19561","4.06049","2.7421875","81.81410256410257","0.36261092900293096","0.00023877926563165648","3.82564","2.76916","2.59375","86.49623493975903","0.020747536085712854","0.00011980261656611983","3.26471","1.87639","2.4755859375","90.62485207100592","0.1592990674409106","0.00022198117855084807","2.67612","2.44329"
"02_sopranoB","198.64453125","3.62109375","54.85760517799353","0.007847101049705303","0.00011212780495872352","3.50737","3.80063","2.390625","83.09313725490196","0.25029782480442886","0.0002203320705301664","3.42331","2.31622","2.5078125","79.21028037383178","0.023520901457060192","0.0001459367899399932","2.88394","1.66409","2.33203125","85.18090452261306","0.05147475703717937","0.00022432109850196262","2.94162","3.36412"
"03_mezzosoprano","366.880859375","6.802734375","53.931380993396495","0.008379303389296874","0.0001176972103074291","2.80249","2.34069","4.359375","84.15905017921148","0.1944186551066768","0.00023133704849231503","3.13039","3.11905","3.904296875","93.96848424212106","0.01220824189181532","0.00012622664692953388","2.9443","1.76185","3.9775390625","92.23815369506507","0.06611744609902243","0.00019513431923745488","2.18842","2.3936"
"04_baritone","158.7734375","1.994140625","79.61998041136141","0.02097912111462857","0.00025933071010289657","2.60362","3.52577","1.96875","80.64682539682539","0.17807362406555102","0.00040299739702242984","2.06589","2.74408","2.1767578125","72.94033198743831","0.05964455846490337","0.00035704720488283616","1.83208","1.62828","1.8583984375","85.43562795585918","0.0843140009315079","0.00047196376836058267","1.77126","2.48347"
"05_countertenorA","213.154296875","2.080078125","102.47417840375587","0.00401010415543421","6.373550807337573E-05","4.20133","3.77052","2.6015625","81.93318318318319","0.2496952718764854","0.0001989225803609244","4.3325","4.0234","2.8505859375","74.77560808496061","0.14840117736580274","0.0002164515200492426","2.74967","1.93635","2.5869140625","82.39713099282748","0.08845096665986117","0.000206350999705474","3.50504","3.19534"
"06_countertenorB","208.36328125","3.7548828125","55.491287386215866","0.0017869933228565435","3.473700273531958E-05","4.56868","4.09276","2.53125","82.31635802469135","0.254687377654933","0.00012185173556891772","4.66979","4.48765","2.7021484375","77.11022768341164","0.1790736580426562","0.00015365612171714356","2.75883","1.64202","3.0673828125","67.92868513212353","0.06664697390840534","0.00010330797086992659","4.2732","3.71631"
"07_bass","226.470703125","2.8193359375","80.32767578801524","0.007227755320865613","5.941713950127965E-05","3.63758","4.32928","2.7421875","82.58760683760684","0.3702967022911192","0.00014399676260204425","4.26631","4.46761","2.6826171875","84.421550782672","0.03359279508930666","0.00013009220220760992","2.52663","1.80297","2.6796875","84.51384839650146","0.03863741869748792","0.00014238092656148422","3.28262","3.28865"
"08_male","105.009765625","0.81640625","128.6244019138756","0.019158227978702824","0.0001639943165305253","3.83095","2.71364","1.3359375","78.60380116959064","0.18846476582308527","0.00018450765901175024","4.0798","4.35325","1.7353515625","60.51209904333146","0.03133201625191057","0.00018156406823126908","2.78369","1.90945","1.0986328125","95.58222222222223","0.011707398909795177","0.00013918168971595096","3.12537","2.8873"
"09_cello","298.923828125","1.7109375","174.7134703196347","0.005950864007125571","7.796053722465368E-05","3.96716","2.51553","3.5859375","83.36002178649237","0.18934243767902595","0.0001257217512136384","4.55952","3.74715","3.3740234375","88.59565846599132","0.03761440520666351","0.00015176706871502743","3.28164","1.98834","2.69140625","111.06603773584905","0.04621896721871369","0.00019724135155378922","3.29005","2.50798"
"10_saxophone","1708.162109375","28.1181640625","60.74941826138298","0.0017346332878632072","1.544803396553469E-05","3.48473","3.77566","19.546875","87.38798960831335","0.03383679144445433","2.115662202493766E-05","3.26548","3.36063","15.9248046875","107.26424234991109","0.08117431372587389","3.273406996839509E-05","2.16908","1.52206","13.8916015625","122.96365553602811","0.03489980900408676","7.854850472576599E-05","2.30552","2.19049"
