"Sample","Codec","Original size (KB)","Compressed size (KB)","Bitrate (Kbit/s)","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"01_sopranoA",".m4a","224.349609375","37.23828125","112","6.024703660967167","4.99876","4.73081","0.26786965161958654","0.0004030713300141179"
"01_sopranoA",".mp3","224.349609375","36.4716796875","112","6.151337456823842","4.99938","4.73063","0.26783527932910906","0.00040332480988896475"
"01_sopranoA",".opus","224.349609375","41.0791015625","112","5.461404968501129","4.99813","4.73084","0.2683013455272323","0.0004040116502504376"
"01_sopranoA",".m4a","224.349609375","42.2568359375","128","5.309190913082665","4.99973","4.73123","0.26786009187653703","0.00040308856046338237"
"01_sopranoA",".mp3","224.349609375","41.6748046875","128","5.383339191564148","4.99958","4.73125","0.26780494200113336","0.0004032253731393997"
"01_sopranoA",".opus","224.349609375","46.0498046875","128","4.871890573640123","4.99874","4.73144","0.2677607507336973","0.0004032476559381548"
"01_sopranoA",".m4a","224.349609375","6.5146484375","16","34.43771548493479","3.65859","3.89772","0.26904190215077756","0.00038877990808845373"
"01_sopranoA",".opus","224.349609375","6.3271484375","16","35.458249729896586","4.52704","4.39852","0.25035898413477964","0.0004023019033545412"
"01_sopranoA",".m4a","224.349609375","52.4423828125","160","4.278020893465671","4.99981","4.73173","0.26788540936868244","0.0004031575746235001"
"01_sopranoA",".mp3","224.349609375","52.083984375","160","4.307458656766791","4.9998","4.73159","0.26781432077645084","0.00040320903905049084"
"01_sopranoA",".opus","224.349609375","55.8662109375","160","4.0158372227175","4.99919","4.73171","0.2677369619338999","0.00040319119075788313"
"01_sopranoA",".m4a","224.349609375","62.6484375","192","3.5810886644219977","4.9999","4.73194","0.26786852980713294","0.0004031658567470509"
"01_sopranoA",".mp3","224.349609375","62.4912109375","192","3.5900986076166963","4.99991","4.73183","0.26781630736568973","0.00040318915323308196"
"01_sopranoA",".opus","224.349609375","65.703125","192","3.4145957193816883","4.99953","4.73168","0.2678436139399256","0.0004033127133322451"
"01_sopranoA",".m4a","224.349609375","72.041015625","224","3.114192761285075","4.99994","4.73202","0.26789468994371735","0.00040323822400486716"
"01_sopranoA",".mp3","224.349609375","72.900390625","224","3.07748158070998","4.99993","4.73189","0.26783948654737944","0.0004032247615239092"
"01_sopranoA",".opus","224.349609375","75.478515625","224","2.9723638245568638","4.99952","4.73173","0.2679011721223978","0.00040336392045090105"
"01_sopranoA",".m4a","224.349609375","9.0859375","24","24.69196044711952","4.0036","3.90895","0.26813075729713814","0.0003976406777770978"
"01_sopranoA",".opus","224.349609375","12.201171875","24","18.387546022090604","4.96639","4.6335","0.2676365434228452","0.0004053438912082298"
"01_sopranoA",".m4a","224.349609375","73.802734375","256","3.039854976579247","4.99994","4.73203","0.26789467538751816","0.0004032380157076159"
"01_sopranoA",".mp3","224.349609375","83.3076171875","256","2.6930263636043934","4.99995","4.73195","0.2678516655084064","0.00040323642443389175"
"01_sopranoA",".opus","224.349609375","85.1416015625","256","2.635017491540976","4.99962","4.73174","0.2679282856782948","0.00040338633743280624"
"01_sopranoA",".m4a","224.349609375","11.640625","32","19.272986577181207","4.98853","4.64214","0.2682684236839816","0.0004033622369991627"
"01_sopranoA",".mp3","224.349609375","10.52734375","32","21.31113172541744","4.82233","4.46956","0.25369855716688927","0.00038719427329406017"
"01_sopranoA",".opus","224.349609375","15.1162109375","32","14.841656437754377","4.97713","4.66499","0.2672115238356905","0.0004041737247403976"
"01_sopranoA",".m4a","224.349609375","74.158203125","320","3.025283784139693","4.99994","4.73203","0.26789467529789107","0.00040323772773638426"
"01_sopranoA",".mp3","224.349609375","104.1240234375","320","2.154638305056132","4.99996","4.73198","0.26784217146628186","0.00040321829687179966"
