"Sample","q","Original duration (ms)","Original size (KB)","Compression time (ms)","Comp Time / Orig dur","Size (KB)","Rate","Decompression time (ms)","Decomp Time / Orig dur"
"01_sopranoA","0","2597.778","224.349609375","456","0.17553462997992902","3.638671875","61.65700483091788","65","0.025021383659419708"
"01_sopranoA","0.1","2597.778","224.349609375","704","0.271000832249715","7.185546875","31.22234302799674","132","0.05081265604682156"
"01_sopranoA","0.2","2597.778","224.349609375","796","0.30641571373689364","14.791015625","15.16796513931071","59","0.02271171747547327"
"01_sopranoA","0.3","2597.778","224.349609375","141","0.05427715532274121","26.427734375","8.4891730101249","157","0.06043626514659837"
"01_sopranoA","0.4","2597.778","224.349609375","398","0.15320785686844682","42.021484375","5.338926330467116","102","0.03926432512708938"
"01_sopranoA","0.5","2597.778","224.349609375","597","0.2298117853026702","61.705078125","3.6358370525116324","110","0.04234388003901796"
"01_sopranoA","0.6","2597.778","224.349609375","163","0.0627459313305448","85.419921875","2.6264319195152623","49","0.01886227383556255"
"01_sopranoA","0.7","2597.778","224.349609375","496","0.19093240453957191","113.044921875","1.9846058155807806","96","0.036954658943142954"
"01_sopranoA","0.8","2597.778","224.349609375","967","0.372241199979367","144.806640625","1.5493047032006582","116","0.0446535462229644"
"01_sopranoA","0.9","2597.778","224.349609375","446","0.17168518634001828","180.599609375","1.242248585982026","55","0.02117194001950898"
"01_sopranoA","1","2597.778","224.349609375","974","0.3749358105273045","215.216796875","1.0424354076104219","117","0.04503849058695547"
"02_sopranoB","0","2299.342","198.64453125","378","0.16439485731135253","2.421875","82.02096774193548","108","0.04696995923181501"
"02_sopranoB","0.1","2299.342","198.64453125","710","0.30878399124619127","5.3125","37.39191176470588","79","0.034357655364012835"
"02_sopranoB","0.2","2299.342","198.64453125","887","0.385762535542777","12.02734375","16.516076648262423","66","0.028703863974998065"
"02_sopranoB","0.3","2299.342","198.64453125","376","0.16352504325150413","22.5390625","8.813344887348354","125","0.05436337874052664"
"02_sopranoB","0.4","2299.342","198.64453125","791","0.34401146067005256","35.5703125","5.584559631012519","51","0.022180258526134866"
"02_sopranoB","0.5","2299.342","198.64453125","489","0.2126695376329402","53.359375","3.7227672035139094","59","0.025659514765528572"
"02_sopranoB","0.6","2299.342","198.64453125","65","0.02826895694507385","74.9453125","2.650526425518607","125","0.05436337874052664"
"02_sopranoB","0.7","2299.342","198.64453125","570","0.24789700705680145","98.1015625","2.0248865174802897","149","0.06480114745870776"
"02_sopranoB","0.8","2299.342","198.64453125","287","0.12481831758824916","126.96484375","1.5645632710826693","144","0.06262661230908668"
"02_sopranoB","0.9","2299.342","198.64453125","124","0.05392847171060242","159.625","1.2444449882537196","109","0.047404866261739224"
"02_sopranoB","1","2299.342","198.64453125","994","0.4322975877446678","192.90625","1.0297464765916087","109","0.047404866261739224"
"03_mezzosoprano","0","4255.102","366.880859375","646","0.15181774725964267","4.548828125","80.65392872477459","98","0.023031175280874585"
"03_mezzosoprano","0.1","4255.102","366.880859375","208","0.04888249447369299","9.759765625","37.59115469281569","80","0.018800959412958843"
"03_mezzosoprano","0.2","4255.102","366.880859375","683","0.16051319098813613","21.830078125","16.80620917956518","128","0.03008153506073415"
"03_mezzosoprano","0.3","4255.102","366.880859375","348","0.08178417344637097","40.826171875","8.986413433478448","82","0.019270983398282815"
