"Sample","Original size (KB)","Compressed size (KB)","q","qxy","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"01_sopranoA","223.796875","3.716796875","0.10","0.00","60.212296374146085","2.62853","3.80625","0.025041306195446398","0.00014538610135472055"
"01_sopranoA","223.796875","7.458984375","0.10","0.10","30.003665881120714","3.18666","3.90311","0.00083177425318065","6.959346259049931E-05"
"01_sopranoA","223.796875","7.189453125","0.10","0.20","31.128497690844878","2.46019","3.32648","0.005898506689368469","0.0001431180912438892"
"01_sopranoA","223.796875","6.466796875","0.10","0.30","34.6070673512534","2.42453","2.51847","0.01884597515372342","0.00018863157764036642"
"01_sopranoA","223.796875","6.466796875","0.10","0.40","34.6070673512534","2.42453","2.51847","0.01884597515372342","0.00018863157764036642"
"01_sopranoA","223.796875","6.466796875","0.10","0.50","34.6070673512534","2.42453","2.51847","0.01884597515372342","0.00018863157764036642"
"01_sopranoA","223.796875","6.466796875","0.10","0.60","34.6070673512534","2.42453","2.51847","0.01884597515372342","0.00018863157764036642"
"01_sopranoA","223.796875","6.466796875","0.10","0.70","34.6070673512534","2.42453","2.51847","0.01884597515372342","0.00018863157764036642"
"01_sopranoA","223.796875","6.466796875","0.10","0.80","34.6070673512534","2.42453","2.51847","0.01884597515372342","0.00018863157764036642"
"01_sopranoA","223.796875","6.466796875","0.10","0.90","34.6070673512534","2.42453","2.51847","0.01884597515372342","0.00018863157764036642"
"01_sopranoA","223.796875","6.466796875","0.10","1.00","34.6070673512534","2.42453","2.51847","0.01884597515372342","0.00018863157764036642"
"01_sopranoA","223.796875","3.810546875","0.20","0.00","58.73090722706304","3.60355","3.71788","0.019048911639195587","0.00012144502706003092"
"01_sopranoA","223.796875","15.650390625","0.20","0.10","14.299762885311369","3.59966","4.00221","0.00039835666673277987","5.636963577406474E-05"
"01_sopranoA","223.796875","13.583984375","0.20","0.20","16.475053918044573","3.19167","3.91378","0.0007773236003000633","6.78261971013588E-05"
"01_sopranoA","223.796875","10.724609375","0.20","0.30","20.867601529775996","2.46115","3.32888","0.005780050670494353","0.0001420435510566154"
"01_sopranoA","223.796875","10.724609375","0.20","0.40","20.867601529775996","2.46115","3.32888","0.005780050670494353","0.0001420435510566154"
"01_sopranoA","223.796875","9.294921875","0.20","0.50","24.07732716957344","2.42519","2.5118","0.019230929295240846","0.00018884211533513691"
"01_sopranoA","223.796875","9.294921875","0.20","0.60","24.07732716957344","2.42519","2.5118","0.019230929295240846","0.00018884211533513691"
"01_sopranoA","223.796875","9.294921875","0.20","0.70","24.07732716957344","2.42519","2.5118","0.019230929295240846","0.00018884211533513691"
"01_sopranoA","223.796875","9.294921875","0.20","0.80","24.07732716957344","2.42519","2.5118","0.019230929295240846","0.00018884211533513691"
"01_sopranoA","223.796875","9.294921875","0.20","0.90","24.07732716957344","2.42519","2.5118","0.019230929295240846","0.00018884211533513691"
"01_sopranoA","223.796875","9.294921875","0.20","1.00","24.07732716957344","2.42519","2.5118","0.019230929295240846","0.00018884211533513691"
"01_sopranoA","223.796875","3.904296875","0.30","0.00","57.32066033016508","3.81646","3.76755","0.019757465942445138","0.00012173250322915712"
"01_sopranoA","223.796875","26.490234375","0.30","0.10","8.448278404482783","3.5901","3.95536","0.00026131693351914164","4.652268939854433E-05"
"01_sopranoA","223.796875","20.669921875","0.30","0.20","10.827175659075877","3.20766","3.87155","0.0005794543416521543","6.824940085779992E-05"
"01_sopranoA","223.796875","16.396484375","0.30","0.30","13.64907683144729","2.43668","3.70004","0.005676003134139478","0.00012484184746797944"
"01_sopranoA","223.796875","14.259765625","0.30","0.40","15.694288453636489","2.46191","3.32732","0.005631450110856017","0.00014112196949627725"
"01_sopranoA","223.796875","12.123046875","0.30","0.50","18.460447881424198","2.42606","2.51123","0.019134273586628992","0.00018833981498179815"
"01_sopranoA","223.796875","12.123046875","0.30","0.60","18.460447881424198","2.42606","2.51123","0.019134273586628992","0.00018833981498179815"
"01_sopranoA","223.796875","12.123046875","0.30","0.70","18.460447881424198","2.42606","2.51123","0.019134273586628992","0.00018833981498179815"
"01_sopranoA","223.796875","12.123046875","0.30","0.80","18.460447881424198","2.42606","2.51123","0.019134273586628992","0.00018833981498179815"
"01_sopranoA","223.796875","12.123046875","0.30","0.90","18.460447881424198","2.42606","2.51123","0.019134273586628992","0.00018833981498179815"
"01_sopranoA","223.796875","12.123046875","0.30","1.00","18.460447881424198","2.42606","2.51123","0.019134273586628992","0.00018833981498179815"
"01_sopranoA","223.796875","3.998046875","0.40","0.00","55.97655105031754","4.16632","4.22027","0.019941179157355948","0.00012022916493310856"
"01_sopranoA","223.796875","42.810546875","0.40","0.10","5.227610748665541","4.11976","4.13262","0.00022114868025557754","4.194240229936519E-05"
"01_sopranoA","223.796875","32.013671875","0.40","0.20","6.9906656091757675","3.11033","3.92656","0.0006087030837136557","6.335333806159365E-05"
"01_sopranoA","223.796875","23.482421875","0.40","0.30","9.530400066539134","3.18915","3.92157","0.0007775314685075165","6.800353335622879E-05"
"01_sopranoA","223.796875","20.638671875","0.40","0.40","10.84356960348254","2.43511","3.69912","0.005682924729684806","0.00012508267873480536"
"01_sopranoA","223.796875","17.794921875","0.40","0.50","12.576446054220174","2.46073","3.32765","0.005648674557071749","0.00014132726024721493"
"01_sopranoA","223.796875","14.951171875","0.40","0.60","14.9685173089484","2.42555","2.50868","0.019176954832842277","0.0001885561739078344"
"01_sopranoA","223.796875","14.951171875","0.40","0.70","14.9685173089484","2.42555","2.50868","0.019176954832842277","0.0001885561739078344"
"01_sopranoA","223.796875","14.951171875","0.40","0.80","14.9685173089484","2.42555","2.50868","0.019176954832842277","0.0001885561739078344"
"01_sopranoA","223.796875","14.951171875","0.40","0.90","14.9685173089484","2.42555","2.50868","0.019176954832842277","0.0001885561739078344"
