sample,HC AVG,HC SD,MP3 AVG,MP3 SD,ACC AVG,ACC SD,Opus AVG,Opus SD
01_sopranoA,348.311,40.86590607095357,122.971,44.04123248729536,159.045,13.197460930042565,223.025,36.99432895728749
02_sopranoB,336.515,21.803526664280714,127.874,16.834967300235544,158.069,10.18882912802055,216.908,37.76680468347832
03_mezzosoprano,497.479,23.115785926504856,109.681,32.21576072359615,150.548,10.829759738793838,238.675,34.62922717878642
04_baritone,587.725,34.903687126147574,114.85,27.39791050427021,158.111,12.489782984503774,212.113,40.25091590262264
05_countertenorA,438.26,38.6410714137173,142.271,26.27910879386894,155.662,9.082387131145644,219.933,36.61563205790663
06_countertenorB,388.385,20.21080837077033,99.604,33.91706331627194,157.298,8.573633768712073,219.212,37.678203991167095
07_bass,517.008,21.30657025426664,128.862,43.23862805409071,155.874,9.248790407399229,220.162,38.99997123075862
08_male,526.697,19.142496989682407,139.971,34.24482674799217,155.734,9.503222821758943,199.378,42.76902051719211
09_cello,333.699,59.999703324266534,136.797,29.682718726558722,144.609,10.230743814601166,236.562,32.83617145770804
10_saxophone,868.228,214.1184392246497,174.318,31.072799616384746,234.508,34.32118785823125,362.048,14.995255783080195
11_bassoon,279.421,19.98919105416725,142.286,18.96244193135473,155.647,10.151078317105036,198.105,46.5242729658401
12_doublebass,403.081,93.60240616031193,120.033,33.4422174952559,161.081,14.07460262316489,214.397,36.02090214028516
13_frenchhorn,391.138,461.3142648520638,161.761,34.2656369997699,159.101,45.10980823501692,288.624,24.407429688519024
14_piano,480.077,29.91332597689531,157.171,24.16583867776991,147.485,12.388130407773403,244.363,31.484206056370546
15_trumpet,409.997,263.2148038978811,437.191,41.805364715548166,292.856,21.31687744487921,882.566,105.69568413137786
16_crash,488.167,34.14544055946563,117.891,44.816951246152385,151.961,9.259993466520374,196.823,46.79826568367678
Average,455.88675000000006,87.26796424162653,152.09574999999998,32.27396670852597,168.5993125,14.997893067354301,273.305875,40.27914327662857
SD,133.54767331345576,119.25029525800846,76.06760988300145,8.169907069358715,37.630554474918966,9.988716658195173,162.2474450306826,18.506651193579778
