sample,CMP AVG,CMP SD,MP3 AVG,MP3 SD,AAC AVG,AAC SD,Opus AVG,Opus SD
01_sopranoA,143.535,28.312272515642398,149.539,10.622922338038626,156.61,50.76831590667549,155.312,49.62655192535544
02_sopranoB,80.976,35.324855611877595,152.479,13.122635367943438,141.128,46.16606563267006,143.332,46.9983805678451
03_mezzosoprano,75.405,25.426816061001425,149.047,9.185357423638996,140.172,46.527050368575914,152.697,49.12872063264013
04_baritone,78.992,36.31784597136785,150.394,8.41919022234324,131.901,41.86849888639429,142.903,46.895475165521034
05_countertenorA,75.625,29.272040841048305,151.27,10.022629395522914,143.028,47.98661496709265,150.968,49.17919251065434
06_countertenorB,80.913,35.35289848088838,151.191,10.169391279717779,144.203,49.22759176518795,160.622,52.30867151821006
07_bass,98.004,43.77366770102775,155.501,13.476869035499307,168.253,50.08507752814205,172.873,47.52621246217712
08_male,92.616,43.51294685493043,151.959,9.858362896546263,144.996,47.93143002248107,149.431,48.25203870304342
09_cello,76.411,27.931274210103624,149.4,7.7012985917960615,147.803,49.16832507824524,157.389,49.548720255925886
10_saxophone,110.365,39.85804529828326,133.493,10.7192327617232,198.16,41.634749909180435,209.975,37.8865197002839
11_bassoon,142.274,25.724403277821626,149.87,9.632502270957428,141.886,47.970147008321746,143.26,47.1476871118828
12_doublebass,73.796,29.33520724317454,151.385,8.18295637285205,134.535,46.37377249049294,146.845,48.409409984010345
13_frenchhorn,84.609,28.889515728028396,145.683,11.680004751711362,161.746,51.456364854116934,175.631,51.21797378850514
14_piano,110.917,48.398740799735684,149.982,12.995986919045434,159.857,51.07479369512911,167.213,51.27831540719722
15_trumpet,208.229,51.30667168117613,198.47,24.154318454471035,218.181,22.915545793194628,264.42,23.705940183844216
16_crash,90.992,20.645675963746015,150.924,8.994121635824145,142.982,47.58730582834039,151.337,48.99436121636856
Average,101.47868749999999,34.33642988999084,152.5366875,11.183611232351955,154.71506250000002,46.17135310839005,165.263,46.75651069584154
SD,34.97657734241365,8.638802903020984,12.71122190585326,3.7534759212110576,22.629530674731054,6.60717350331137,30.407826860448285,6.7059379787361
